,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
95,Analista de Mercados Senior,ABA Finance,"Tijuana, B.C.",None,17,2020-11-22,Your contribution to our team will focus on market research by implementing marketing automation technology through various platforms to enable data-driven…,https://mx.indeed.com/rc/clk?jk=27b6f635e80b1dc2&fccid=258690ed7e7c7c9c&vjs=3
96,Principal Software Service Engineer,PerkinElmer,Ciudad de México,None,4,2020-11-22,Build clinical data interfacing capabilities into LifeCycle and in-turn implement Lampi to gather clinical data in addition to system data.,https://mx.indeed.com/rc/clk?jk=84859a812bf18c7b&fccid=dedb01f1a81e63e6&vjs=3
97,Global Solutions - Beast Developer,Kantar TNS,Ciudad de México,None,+30,2020-11-22,"1+ years’ experience in data science or statistics. Kantar is the world’s leading data, insights and consulting company. Experience with developing R packages.",https://mx.indeed.com/rc/clk?jk=e15de860cbe98430&fccid=fc0eeff012676923&vjs=3
98,Data Engineer,Reclu IT,"Guadalajara, Jal.",None,+30,2020-11-22,"Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",https://mx.indeed.com/rc/clk?jk=eedf4c0d7d72bed7&fccid=bf5ef8d125c5c894&vjs=3
99,Global Solutions - Beast Developer,KANTAR,Ciudad de México,None,+30,2020-11-22,"1+ years’ experience in data science or statistics. Kantar is the world’s leading data, insights and consulting company. Experience with developing R packages.",https://mx.indeed.com/rc/clk?jk=5fc7b6e00ec2279e&fccid=fc0eeff012676923&vjs=3
100,iOS Developer,Oyster Financial Inc,Ciudad de México,None,+30,2020-11-22,"Experts from many disciplines come together to deliver phenomenal results: marketers, designers, engineers, scientists, mathematicians, you name it.",https://mx.indeed.com/rc/clk?jk=582071bd19d02fa0&fccid=c83a5e5b1cd50458&vjs=3
101,Cloud Solution Architect,Microsoft,Ciudad de México,None,5,2020-11-22,Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing.,https://mx.indeed.com/rc/clk?jk=7d738228f4d13ca2&fccid=734cb5a01ee60f80&vjs=3
102,Senior Site Reliability Engineer,Urbint,Ciudad de México,None,+30,2020-11-22,"We are a tight-knit team of coders, data scientists, infrastructure experts, entrepreneurs, and creatives working together to create and deliver cutting-edge…",https://mx.indeed.com/rc/clk?jk=a1996624f8f312f1&fccid=880c5736f444fdfd&vjs=3
103,Senior Engineer,Aspen Technology,Ciudad de México,None,24,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=f5be61b6ff7ed0e9&fccid=b3fc015a7c99e39b&vjs=3
104,Senior Data Engineer,StartupGDL,"Guadalajara, Jal.",None,+30,2020-11-22,"You will work with data scientists, product management, and customer success teams to understand data requirements. Passion for tackling big data challenges.",https://mx.indeed.com/rc/clk?jk=575c7c14bf03daaf&fccid=942c4ec626ccb63b&vjs=3
105,Senior Software Developer,Aspen Technology,Ciudad de México,None,24,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=e0dcf82ec9b7eb2c&fccid=b3fc015a7c99e39b&vjs=3
106,Database Analyst III,Jabil,"Guadalajara, Jal.",None,+30,2020-11-22,"Hands on experience with BIG data processing, clean, transform and prepare data. Demonstrable technical experience in BIG data analytics.",https://mx.indeed.com/rc/clk?jk=b8c23301136f0e24&fccid=0b46d1863c3b0bf5&vjs=3
107,Sr DevOps Engineer - Big data project,Truelogic Software,Ciudad de México,None,26,2020-11-22,"Join an exciting new team as a Sr DevOps Engineer, working to set up an ambitious Big Data project that will allow data scientists to gain insights on…",https://mx.indeed.com/rc/clk?jk=d10aa38f3970fe20&fccid=e0d3c38393df6dda&vjs=3
108,Portfolio Analytics - Fintech,Confidencial,Ciudad de México,None,3,2020-11-22,"Working with our data scientists and collections agencies, you will play a key role in developing decisioning tools to inform our credit risk management…",https://mx.indeed.com/rc/clk?jk=346385ceee2ad05d&fccid=dd616958bd9ddc12&vjs=3
109,Lead Product Designer,Kueski,"Guadalajara, Jal.",None,10,2020-11-22,"Ability to balance business needs, data metrics, and UX. Appetite for validating ideas by running research and interpreting qualitative and quantitative data.",https://mx.indeed.com/rc/clk?jk=77bd497b9d03b03a&fccid=69404b4fd1d4bb12&vjs=3
110,Analista de Mercados Senior,ABA Finance,"Tijuana, B.C.",None,17,2020-11-22,Your contribution to our team will focus on market research by implementing marketing automation technology through various platforms to enable data-driven…,https://mx.indeed.com/rc/clk?jk=27b6f635e80b1dc2&fccid=258690ed7e7c7c9c&vjs=3
111,Principal Software Service Engineer,PerkinElmer,Ciudad de México,None,4,2020-11-22,Build clinical data interfacing capabilities into LifeCycle and in-turn implement Lampi to gather clinical data in addition to system data.,https://mx.indeed.com/rc/clk?jk=84859a812bf18c7b&fccid=dedb01f1a81e63e6&vjs=3
112,Global Solutions - Beast Developer,Kantar TNS,Ciudad de México,None,+30,2020-11-22,"1+ years’ experience in data science or statistics. Kantar is the world’s leading data, insights and consulting company. Experience with developing R packages.",https://mx.indeed.com/rc/clk?jk=e15de860cbe98430&fccid=fc0eeff012676923&vjs=3
113,Data Engineer,Reclu IT,"Guadalajara, Jal.",None,+30,2020-11-22,"Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",https://mx.indeed.com/rc/clk?jk=eedf4c0d7d72bed7&fccid=bf5ef8d125c5c894&vjs=3
114,Global Solutions - Beast Developer,KANTAR,Ciudad de México,None,+30,2020-11-22,"1+ years’ experience in data science or statistics. Kantar is the world’s leading data, insights and consulting company. Experience with developing R packages.",https://mx.indeed.com/rc/clk?jk=5fc7b6e00ec2279e&fccid=fc0eeff012676923&vjs=3
115,iOS Developer,Oyster Financial Inc,Ciudad de México,None,+30,2020-11-22,"Experts from many disciplines come together to deliver phenomenal results: marketers, designers, engineers, scientists, mathematicians, you name it.",https://mx.indeed.com/rc/clk?jk=582071bd19d02fa0&fccid=c83a5e5b1cd50458&vjs=3
116,Cloud Solution Architect,Microsoft,Ciudad de México,None,5,2020-11-22,Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing.,https://mx.indeed.com/rc/clk?jk=7d738228f4d13ca2&fccid=734cb5a01ee60f80&vjs=3
117,Senior Site Reliability Engineer,Urbint,Ciudad de México,None,+30,2020-11-22,"We are a tight-knit team of coders, data scientists, infrastructure experts, entrepreneurs, and creatives working together to create and deliver cutting-edge…",https://mx.indeed.com/rc/clk?jk=a1996624f8f312f1&fccid=880c5736f444fdfd&vjs=3
118,Senior Engineer,Aspen Technology,Ciudad de México,None,24,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=f5be61b6ff7ed0e9&fccid=b3fc015a7c99e39b&vjs=3
119,Senior Data Engineer,StartupGDL,"Guadalajara, Jal.",None,+30,2020-11-22,"You will work with data scientists, product management, and customer success teams to understand data requirements. Passion for tackling big data challenges.",https://mx.indeed.com/rc/clk?jk=575c7c14bf03daaf&fccid=942c4ec626ccb63b&vjs=3
120,Senior Software Developer,Aspen Technology,Ciudad de México,None,24,2020-11-22,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the…",https://mx.indeed.com/rc/clk?jk=e0dcf82ec9b7eb2c&fccid=b3fc015a7c99e39b&vjs=3
121,Database Analyst III,Jabil,"Guadalajara, Jal.",None,+30,2020-11-22,"Hands on experience with BIG data processing, clean, transform and prepare data. Demonstrable technical experience in BIG data analytics.",https://mx.indeed.com/rc/clk?jk=b8c23301136f0e24&fccid=0b46d1863c3b0bf5&vjs=3
