,Job_title,Company,Location,Salary,Date_of_post,Today_date,Summary,Job_URL
118,"Quality Engineer, Cooper Lighting Solutions",Signify,"Ciudad Juárez, Chih.",None,13,2020-11-22,"Maintain a close relationship with production supervisors, line managers, production auditors, technicians, production engineers, manufacturing engineers and…",https://mx.indeed.com/rc/clk?jk=12a32f1e08b6172c&fccid=508609a1a9ea1ca9&vjs=3
119,Industrial Engineer Supervisor,Wallenius Wilhelmsen,"Cuautitlán Izcalli, Méx.",None,+30,2020-11-22,"Strong computer skills, including Word, Excel, PowerPoint and data based applications. Wallenius Wilhelmsen is seeking for an Industrial Engineer.",https://mx.indeed.com/rc/clk?jk=421351fa2b64391e&fccid=dffd3ad8e3904c27&vjs=3
120,Data Scientist,Adext,Ciudad de México,None,+30,2020-11-22,"Experience with technology relative to data science; Python, R, SQL. Ability to co-develop and provide technical guidance to data scientists on the choice of…",https://mx.indeed.com/rc/clk?jk=4290bd42e73340fa&fccid=2b33a8cec62968a1&vjs=3
121,Data Engineer,Definity First,"San Pedro Garza García, N. L.",None,+30,2020-11-22,Identify and troubleshoot business process and or data quality issues on new or existing interfaces. 3-5 years of experience developing and supporting data…,https://mx.indeed.com/rc/clk?jk=c48bde4cd7b196b1&fccid=ff90645f8e3e25d6&vjs=3
122,Middleware Engineer,amdocs,"Guadalajara, Jal.",None,2,2020-11-22,"Technology Site reliability engineers will be dedicated to creating software that improves the reliability of systems in production, fixing issues, responding…",https://mx.indeed.com/rc/clk?jk=4c18c32ec3bbd52d&fccid=3b6bf500a6749588&vjs=3
123,SUPV I PRODUCTION,TE Connectivity,"Hermosillo, Son.",None,9,2020-11-22,"With nearly 80,000 employees, including more than 8,000 engineers, working alongside customers in approximately 150 countries, TE ensures that EVERY CONNECTION…",https://mx.indeed.com/rc/clk?jk=2a54eb1ca2940c9a&fccid=adb7c04d7caa1bd2&vjs=3
124,EH&S Engineer,Flex,"Aguascalientes, Ags.",None,2,2020-11-22,"We will process your data in accordance with our Recruitment Privacy Notice . If you have any queries about the processing of your data, please contact:",https://mx.indeed.com/rc/clk?jk=69731f056fa81d75&fccid=b4ab9735c58e3972&vjs=3
125,Lead Manufacturing Engineer,Jabil,"Chihuahua, Chih.",None,1 día,2020-11-22,"Ability to define problems, collect data, establish facts, and draw valid conclusions. At Jabil, we empower the brands who empower the world – it's our reason…",https://mx.indeed.com/rc/clk?jk=d50b9621a7703e2a&fccid=0b46d1863c3b0bf5&vjs=3
126,Support Engineer - Power BI,Microsoft,Ciudad de México,None,2,2020-11-22,"3+ years of work experience in an analytical role involving data extraction, analysis, and communication. If you love talking to and learning from customers and…",https://mx.indeed.com/rc/clk?jk=a1663aeb4f31a65e&fccid=734cb5a01ee60f80&vjs=3
127,Product Engineer,Flex,"Reynosa, Tamps.",None,+30,2020-11-22,"We will process your data in accordance with our Recruitment Privacy Notice . If you have any queries about the processing of your data, please contact:",https://mx.indeed.com/rc/clk?jk=afb6c66d39592688&fccid=b4ab9735c58e3972&vjs=3
128,"Engineer III, Process (Molding) - 56068",CommScope,"Reynosa, Tamps.",None,+30,2020-11-22,"COMMSCOPE, Líder Global en Soluciones de Infraestructura para las Redes de Comunicación. Somos una compañía en la que habilitamos la comunicación por medio de…",https://mx.indeed.com/rc/clk?jk=9b42a8205c4c2f1e&fccid=2579629f25cc4681&vjs=3
129,Product Engineer,Sensata Technologies,"Tijuana, B.C.",None,+30,2020-11-22,Analyzes historical product/component related data to determine/predict performance and non-conformances. Through a comprehensive understanding of the different…,https://mx.indeed.com/rc/clk?jk=c261effde8024662&fccid=09bf0a2ea4abac43&vjs=3
130,Manufacturig Engineer,Flex,"Tijuana, B.C.",None,15,2020-11-22,"We will process your data in accordance with our Recruitment Privacy Notice . If you have any queries about the processing of your data, please contact:",https://mx.indeed.com/rc/clk?jk=67ee42a516539e91&fccid=b4ab9735c58e3972&vjs=3
131,QA Engineer | RappiPay,Rappi,Ciudad de México,None,+30,2020-11-22,Collect quality data Identify key KPIs for product quality. We are not afraid to make mistakes but we use data and logic to backup decisions and improve…,https://mx.indeed.com/rc/clk?jk=c385ec04c09fc151&fccid=72647c43dd44e6cc&vjs=3
132,Sr Manufacturing Engineer,Garrett Advancing Motion,"Mexicali, B.C.",None,+30,2020-11-22,Provide analysis of data in support of product and process improvements. Are you looking for a next career move in Manufacturing Engineering?,https://mx.indeed.com/rc/clk?jk=0a31ff9f363fb936&fccid=d9bafbf876cd0b62&vjs=3
133,Data Center Commisioning Manager,AECOM,Ciudad de México,None,2,2020-11-22,"The Commissioning Manager works with data center architects, engineers, construction managers, network engineers, data center operations teams, and finance…",https://mx.indeed.com/rc/clk?jk=6b1d88ce8d408acd&fccid=bafa4b35e9cd20ce&vjs=3
134,Cost Manager – Data Centres,Turner & Townsend,"Querétaro, Qro.",None,2,2020-11-22,"Cost Manager often liaises with builders, architects, engineers, and other contractors. At Turner & Townsend we’re passionate about making the difference.",https://mx.indeed.com/rc/clk?jk=ed261c5294a227d1&fccid=6803bea41688e709&vjs=3
